epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.176,1.7378,1.81568,1.38104,0.59742,0.41676,0.45596,0.22504,1.73745,1.39022,1.40147,0.000663194,0.000663194,0.000663194
2,42.9552,1.72933,1.31981,1.38145,0.61434,0.4076,0.45138,0.21765,1.80025,1.40662,1.38419,0.00130353,0.00130353,0.00130353
3,62.689,1.7643,1.32945,1.39529,0.59589,0.42498,0.45719,0.22354,1.79441,1.49748,1.42808,0.00191747,0.00191747,0.00191747
4,83.564,1.7455,1.30846,1.39088,0.61505,0.42499,0.46639,0.23802,1.70741,1.43993,1.36785,0.0018812,0.0018812,0.0018812
5,104.303,1.73619,1.26947,1.37189,0.62841,0.43988,0.4937,0.25008,1.71315,1.23311,1.34234,0.0018416,0.0018416,0.0018416
6,124.644,1.69744,1.25107,1.36281,0.64113,0.44062,0.49847,0.25976,1.66485,1.22006,1.32421,0.001802,0.001802,0.001802
7,145.232,1.70201,1.23419,1.36185,0.66569,0.45121,0.50833,0.26634,1.66498,1.18937,1.33131,0.0017624,0.0017624,0.0017624
8,165.733,1.67158,1.22134,1.34539,0.65581,0.44675,0.49954,0.2656,1.64935,1.20028,1.34211,0.0017228,0.0017228,0.0017228
9,186.206,1.66295,1.20884,1.33973,0.65226,0.43729,0.49848,0.26041,1.67827,1.21099,1.31724,0.0016832,0.0016832,0.0016832
10,206.981,1.64385,1.1748,1.3321,0.66396,0.45773,0.51857,0.27887,1.60306,1.14834,1.30054,0.0016436,0.0016436,0.0016436
11,226.653,1.62209,1.16442,1.31753,0.67524,0.45403,0.51971,0.27879,1.61337,1.14521,1.28671,0.001604,0.001604,0.001604
12,246.28,1.63588,1.1532,1.31069,0.68391,0.45413,0.52367,0.27871,1.61409,1.12652,1.30431,0.0015644,0.0015644,0.0015644
13,266.286,1.60969,1.13949,1.30361,0.69297,0.46009,0.52589,0.28336,1.60125,1.13354,1.28015,0.0015248,0.0015248,0.0015248
14,285.613,1.61297,1.13641,1.29961,0.69019,0.46299,0.52953,0.28421,1.59462,1.11539,1.27926,0.0014852,0.0014852,0.0014852
15,306.372,1.5917,1.12214,1.29554,0.67646,0.4496,0.52704,0.28052,1.60621,1.12102,1.28097,0.0014456,0.0014456,0.0014456
16,327.259,1.58132,1.10304,1.28355,0.69607,0.45945,0.52953,0.28776,1.56471,1.09574,1.26505,0.001406,0.001406,0.001406
17,348.009,1.57374,1.11236,1.29684,0.69116,0.47007,0.53729,0.29217,1.55916,1.10461,1.26778,0.0013664,0.0013664,0.0013664
18,368.829,1.56328,1.09431,1.27763,0.70035,0.47225,0.54341,0.29314,1.56169,1.09127,1.26082,0.0013268,0.0013268,0.0013268
19,390.556,1.58361,1.09806,1.27795,0.70042,0.47475,0.54695,0.30033,1.55333,1.07948,1.26226,0.0012872,0.0012872,0.0012872
20,411.658,1.55331,1.08775,1.27694,0.70128,0.48178,0.55193,0.30346,1.53467,1.07863,1.24402,0.0012476,0.0012476,0.0012476
21,432.826,1.55262,1.06626,1.26012,0.69391,0.46985,0.54429,0.30114,1.53985,1.06046,1.24891,0.001208,0.001208,0.001208
22,453.589,1.54981,1.07243,1.26836,0.71043,0.47919,0.55461,0.30338,1.55236,1.04914,1.25561,0.0011684,0.0011684,0.0011684
23,474.822,1.55879,1.07017,1.26001,0.70857,0.47632,0.5544,0.3044,1.53156,1.04115,1.24375,0.0011288,0.0011288,0.0011288
24,496.214,1.52404,1.05262,1.25461,0.7068,0.48243,0.55514,0.3053,1.53502,1.04795,1.25055,0.0010892,0.0010892,0.0010892
25,516.424,1.5186,1.04262,1.24977,0.70379,0.48435,0.55758,0.30752,1.53737,1.04838,1.24391,0.0010496,0.0010496,0.0010496
26,537.965,1.51929,1.04527,1.25562,0.72005,0.47799,0.56391,0.31066,1.51086,1.04126,1.22763,0.00101,0.00101,0.00101
27,558.444,1.51184,1.03359,1.24372,0.70461,0.48249,0.55411,0.30478,1.52945,1.07212,1.24202,0.0009704,0.0009704,0.0009704
28,579.075,1.49723,1.02752,1.24172,0.70701,0.49621,0.56497,0.31386,1.51596,1.01763,1.23147,0.0009308,0.0009308,0.0009308
29,599.008,1.48523,1.01433,1.23989,0.7233,0.48668,0.56469,0.31326,1.50446,1.01104,1.23172,0.0008912,0.0008912,0.0008912
30,618.618,1.4874,1.01309,1.23534,0.71513,0.4877,0.56733,0.31552,1.49763,1.01919,1.2221,0.0008516,0.0008516,0.0008516
31,638.32,1.48461,1.01326,1.22836,0.72153,0.4828,0.56377,0.31588,1.48657,1.00936,1.21422,0.000812,0.000812,0.000812
32,658.47,1.48485,0.99713,1.22812,0.7213,0.48936,0.56999,0.32127,1.48187,0.99964,1.21185,0.0007724,0.0007724,0.0007724
33,679.2,1.47124,0.99052,1.22415,0.70868,0.48788,0.56467,0.31512,1.49642,0.9976,1.21885,0.0007328,0.0007328,0.0007328
34,699.88,1.47232,0.99776,1.2238,0.72393,0.48677,0.56989,0.3188,1.48534,1.00353,1.2134,0.0006932,0.0006932,0.0006932
35,721.669,1.47743,0.99278,1.222,0.72678,0.49454,0.57259,0.32527,1.4653,0.99106,1.20658,0.0006536,0.0006536,0.0006536
36,742.916,1.45658,0.98278,1.21336,0.72174,0.49982,0.57285,0.32424,1.47296,0.98468,1.20518,0.000614,0.000614,0.000614
37,763.929,1.45189,0.9693,1.20832,0.7342,0.49713,0.57323,0.32113,1.48621,0.99655,1.2105,0.0005744,0.0005744,0.0005744
38,785.049,1.46008,0.97907,1.216,0.74626,0.49649,0.57749,0.32508,1.47637,0.98908,1.20784,0.0005348,0.0005348,0.0005348
39,805.99,1.44471,0.9654,1.20035,0.73755,0.49464,0.57775,0.32713,1.46041,0.97818,1.19943,0.0004952,0.0004952,0.0004952
40,827.086,1.43861,0.95986,1.19809,0.73153,0.49954,0.58108,0.32816,1.46619,0.98349,1.19816,0.0004556,0.0004556,0.0004556
41,857.64,1.41107,0.94647,1.18697,0.74451,0.48844,0.57706,0.32621,1.4688,0.98035,1.20772,0.000416,0.000416,0.000416
42,877.7,1.40873,0.93651,1.18316,0.73676,0.4914,0.57661,0.32595,1.45536,0.97938,1.19893,0.0003764,0.0003764,0.0003764
43,896.833,1.40452,0.93073,1.17582,0.72326,0.50207,0.57861,0.32664,1.45844,0.98195,1.20343,0.0003368,0.0003368,0.0003368
44,916.497,1.38921,0.92229,1.17688,0.73346,0.4963,0.57939,0.32933,1.45456,0.96382,1.19719,0.0002972,0.0002972,0.0002972
45,935.984,1.37617,0.91116,1.16793,0.73611,0.49584,0.5789,0.33004,1.44906,0.96222,1.19313,0.0002576,0.0002576,0.0002576
46,955.697,1.37187,0.90848,1.1642,0.73043,0.50173,0.58376,0.33222,1.44784,0.96267,1.19566,0.000218,0.000218,0.000218
47,975.972,1.35979,0.89787,1.16178,0.73892,0.49685,0.57932,0.32958,1.45517,0.96175,1.19897,0.0001784,0.0001784,0.0001784
48,995.439,1.36157,0.90149,1.15972,0.74527,0.50083,0.58438,0.33447,1.44076,0.95531,1.19249,0.0001388,0.0001388,0.0001388
49,1015.24,1.36801,0.89575,1.1585,0.74984,0.49889,0.58535,0.3344,1.4405,0.94858,1.19085,9.92e-05,9.92e-05,9.92e-05
50,1035.37,1.36151,0.89098,1.15552,0.73868,0.50398,0.58521,0.33423,1.44417,0.95473,1.1917,5.96e-05,5.96e-05,5.96e-05
